#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
320.00	0.767	37.65	34.26	34.98	32.87	33.35	326.41	13	2.72	0.640	-10000	-47.58	-100.00	2.72	63.83	-10000	
-10000	-10000	25.32	24.94	14.54	11.77	24.86	-10000	1	17.76	0.681	-7.28	-70.78	-100.00	10.47	-10000	-10000	
-10000	-10000	0.59	-0.27	-6.85	-0.12	-10000	-10000	1	7.85	0.796	-1.44	-90.44	-100.00	6.41	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	5.45	4.25	-0.74	4.34	-10000	-10000	1	-7.49	0.895	-4.49	-97.52	-100.00	-25.07	-10000	-10000	
-10000	-10000	40.67	40.01	32.14	40.05	21.42	301.75	13	-13.35	0.819	-14.45	-52.35	-100.00	-30.60	62.47	-10000	
-10000	-10000	43.71	42.94	35.85	42.74	30.84	307.55	12	-4.36	0.507	-8.56	-32.25	-100.00	-12.92	62.80	-10000	
-10000	-10000	47.27	46.11	40.99	42.11	44.04	280.57	13	12.37	0.811	-13.39	-49.54	-100.00	-1.02	61.21	-53.50	
275.86	0.885	53.14	52.46	44.75	49.31	49.80	280.57	13	11.56	0.756	-12.48	-37.90	-100.00	-0.92	61.21	-31.60	
271.19	0.898	56.15	55.71	46.01	41.08	55.67	271.16	13	11.30	0.797	-18.14	-60.94	-100.00	-6.85	60.62	-27.52	
266.67	0.949	56.82	56.44	46.01	41.53	56.40	266.66	13	11.92	0.790	-21.15	-58.75	-100.00	-9.23	60.33	-23.95	
266.67	0.968	56.09	55.69	45.51	40.31	55.66	266.66	13	11.54	0.781	-22.51	-83.90	-100.00	-10.97	60.33	-23.90	
266.67	0.908	54.03	53.59	43.88	38.56	53.54	262.23	13	6.13	0.744	-17.77	-47.82	-100.00	-11.64	60.04	-18.66	
258.06	0.865	49.75	49.21	40.48	34.07	49.14	258.02	13	2.57	0.704	-13.99	-49.78	-100.00	-11.42	59.76	-10000	
-10000	-10000	40.92	40.07	33.38	37.18	37.04	253.88	13	-0.17	0.754	-8.39	-49.89	-100.00	-8.56	59.48	-10000	
-10000	-10000	19.20	17.41	14.48	7.89	17.13	-10000	1	-2.21	0.746	-4.81	-78.62	-100.00	-7.02	-10000	-10000	
-10000	-10000	-32.06	-36.52	-34.05	-35.57	-10000	-10000	1	-0.21	0.863	12.83	-132.81	-100.00	-4.86	-10000	-10000	
